Raymond James Financial	US	S&P500	Financials	Investment Banking & Brokerage
RTX Corporation	US	S&P500	Industrials	Aerospace & Defense
Realty Income	US	S&P500	Real Estate	Retail REITs
Regency Centers	US	S&P500	Real Estate	Retail REITs
Regeneron Pharmaceuticals	US	S&P500	Health Care	Biotechnology
Regions Financial Corporation	US	S&P500	Financials	Regional Banks
Republic Services	US	S&P500	Industrials	Environmental & Facilities Services
ResMed	US	S&P500	Health Care	Health Care Equipment
Revvity	US	S&P500	Health Care	Health Care Equipment
Robinhood Markets	US	S&P500	Financials	Investment Banking & Brokerage
Rockwell Automation	US	S&P500	Industrials	Electrical Components & Equipment
Rollins, Inc.	US	S&P500	Industrials	Environmental & Facilities Services
Roper Technologies	US	S&P500	Information Technology	Electronic Equipment & Instruments
Ross Stores	US	S&P500	Consumer Discretionary	Apparel Retail
Royal Caribbean Group	US	S&P500	Consumer Discretionary	Hotels, Resorts & Cruise Lines
S&P Global	US	S&P500	Financials	Financial Exchanges & Data
Salesforce	US	S&P500	Information Technology	Application Software
Sandisk	US	S&P500	Information Technology	Technology Hardware, Storage & Peripherals
SBA Communications	US	S&P500	Real Estate	Telecom Tower REITs
Schlumberger	US	S&P500	Energy	Oil & Gas Equipment & Services
Seagate Technology	US	S&P500	Information Technology	Technology Hardware, Storage & Peripherals
Sempra	US	S&P500	Utilities	Multi-Utilities
ServiceNow	US	S&P500	Information Technology	Systems Software
Sherwin-Williams	US	S&P500	Materials	Specialty Chemicals
Simon Property Group	US	S&P500	Real Estate	Retail REITs
Skyworks Solutions	US	S&P500	Information Technology	Semiconductors
J.M. Smucker Company (The)	US	S&P500	Consumer Staples	Packaged Foods & Meats
Smurfit Westrock	US	S&P500	Materials	Paper & Plastic Packaging Products & Materials
Snap-on	US	S&P500	Industrials	Industrial Machinery & Supplies & Components
Solventum	US	S&P500	Health Care	Health Care Technology
Southern Company	US	S&P500	Utilities	Electric Utilities
Southwest Airlines	US	S&P500	Industrials	Passenger Airlines
Stanley Black & Decker	US	S&P500	Industrials	Industrial Machinery & Supplies & Components
Starbucks	US	S&P500	Consumer Discretionary	Restaurants
State Street Corporation	US	S&P500	Financials	Asset Management & Custody Banks
Steel Dynamics	US	S&P500	Materials	Steel
Steris	US	S&P500	Health Care	Health Care Equipment
Stryker Corporation	US	S&P500	Health Care	Health Care Equipment
Supermicro	US	S&P500	Information Technology	Technology Hardware, Storage & Peripherals
Synchrony Financial	US	S&P500	Financials	Consumer Finance
Synopsys	US	S&P500	Information Technology	Application Software
Sysco	US	S&P500	Consumer Staples	Food Distributors
T-Mobile US	US	S&P500	Communication Services	Wireless Telecommunication Services
T. Rowe Price	US	S&P500	Financials	Asset Management & Custody Banks
Take-Two Interactive	US	S&P500	Communication Services	Interactive Home Entertainment
Tapestry, Inc.	US	S&P500	Consumer Discretionary	Apparel, Accessories & Luxury Goods
Targa Resources	US	S&P500	Energy	Oil & Gas Storage & Transportation
Target Corporation	US	S&P500	Consumer Staples	Consumer Staples Merchandise Retail
TE Connectivity	US	S&P500	Information Technology	Electronic Manufacturing Services
Teledyne Technologies	US	S&P500	Information Technology	Electronic Equipment & Instruments
Teradyne	US	S&P500	Information Technology	Semiconductor Materials & Equipment
Tesla, Inc.	US	S&P500	Consumer Discretionary	Automobile Manufacturers
Texas Instruments	US	S&P500	Information Technology	Semiconductors
Texas Pacific Land Corporation	US	S&P500	Energy	Oil & Gas Exploration & Production
Textron	US	S&P500	Industrials	Aerospace & Defense
Thermo Fisher Scientific	US	S&P500	Health Care	Life Sciences Tools & Services
TJX Companies	US	S&P500	Consumer Discretionary	Apparel Retail
TKO Group Holdings	US	S&P500	Communication Services	Movies & Entertainment
Trade Desk (The)	US	S&P500	Communication Services	Advertising
Tractor Supply	US	S&P500	Consumer Discretionary	Other Specialty Retail
Trane Technologies	US	S&P500	Industrials	Building Products
TransDigm Group	US	S&P500	Industrials	Aerospace & Defense
